性別,年齢,職業,予約,施術,口コミ,店名
女性,20代前半,学生,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,トリートメントしてもらって髪サラサラになりました～！ありがとうございます～！,D店
女性,20代後半,パート・アルバイト,量産型ヘアセット,ヘアセット,担当してくださった方は技術もあり無駄に話しかけてくることも無く良かったのですが、アシスタント？の男性店員の態度の悪さが気になりました。声は小さいし何故か不機嫌そうだしスマホをいじっていたり。接客業向いてないと思います。,D店
女性,10代後半,学生,量産型ヘアセット,ヘアセット,強風の中でも崩れず1日巻き取れませんでした！家族や友達にも可愛いと褒められてここにヘアメお願いして良かったと思ってます！,D店
女性,20代前半,学生,量産型ヘアセット,ヘアセット,初めての来店でした。友人と前後の時間での,D店
女性,20代後半,会社員,量産型ヘアセット,ヘアセット,雰囲気でこうしたいとお伝えして、いくつか案を出して頂いて、とっても可愛く納得のいくセットをして頂きました！移動中のビル風にも負けず、崩れませんでした。本当にありがとうございました！また機会があればお願いいたします！,D店
女性,20代後半,,クーポン利用なし カラー、エクステ,カラー、エクステ,プルエクオフとカラーでお願いしました(^_^)とても丁寧に仕上げていただきました！結構絡まってしまっていたのですが、丁寧に梳かしてくださり全く痛さがなかったです。残念ながら担当してくれた女性の方のお名前がわからなかったのですが、、次回もまたこの方にお願いしたいです！夜遅くまでありがとうございました！,D店
女性,20代前半,学生,【NEWOPEN】カット+フルカラー+前処理トリートメント,カット、カラー、トリートメント,ありがとうございました。,D店
女性,10代後半,,【NEWOPEN】カット+フルカラー+前処理トリートメント,カット、カラー、トリートメント,良かったです,D店
男性,20代後半,会社員,メンズカット＋カラー90分,カット、カラー,とても色映えよく仕上げていただきました,D店
女性,20代前半,,クーポン利用なし エクステ,エクステ,シールエクステオフで,D店
女性,30代前半,会社員,パーティーヘアセット,ヘアセット,めちゃくちゃ迅速に対応していただけて助かりました。ヘアアレンジ可愛かったです！,D店
